num_layers	num_hidden	loss	val_loss
1	1	1.0247987508773804	1.002274990081787
1	10	0.9982597231864929	0.9720246195793152
1	100	0.976763129234314	0.9522362947463989
1	200	0.9703001379966736	0.9466217756271362
1	400	0.9688135385513306	0.9466660618782043
1	600	0.9624764919281006	0.9389141201972961
1	800	0.961332380771637	0.9382923245429993
1	1000	0.9581368565559387	0.9332127571105957
1	2000	0.9551409482955933	0.9308110475540161
2	2000	1.0	0.9723891019821167
3	2000	0.9999998807907104	0.9723891019821167
4	2000	0.9999998807907104	0.9723891019821167
5	2000	0.9999998807907104	0.9723891019821167
6	2000	0.9999997615814209	0.9723891019821167
7	2000	0.9999998807907104	0.9723891019821167
8	2000	0.9999998807907104	0.9723891019821167
9	2000	0.9999998807907104	0.9723891019821167
10	2000	1.0	0.9723891019821167
2	1000	0.9999997615814209	0.9723891019821167
4	1000	1.0000001192092896	0.9723891019821167
6	1000	1.0	0.9723891019821167
8	1000	1.0000001192092896	0.9723891019821167
10	1000	1.1677497625350952	1.1428179740905762
1	2000	0.9532676339149475	0.9295339584350586
1	2000	0.9536678791046143	0.9293542504310608
1	2000	0.9532478451728821	0.9292289614677429
1	2000	0.9540238976478577	0.9303332567214966
1	2000	0.9527328014373779	0.9293199181556702
1	2000	0.9534433484077454	0.9295344948768616
1	2000	0.9527173042297363	0.9299755096435547
1	2000	0.9530687928199768	0.9300408959388733
